Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Wed Nov 13 2013,9:00p,New Orleans Pelicans,105,Utah Jazz,111,Box Score,,16717,2:15,EnergySolutions Arena,
Wed Nov 13 2013,10:00p,Phoenix Suns,89,Portland Trail Blazers,90,Box Score,,19537,2:10,Moda Center,
Wed Nov 13 2013,10:00p,Brooklyn Nets,86,Sacramento Kings,107,Box Score,,15122,2:07,Sleep Train Arena,
Wed Nov 13 2013,10:30p,Oklahoma City Thunder,103,Los Angeles Clippers,111,Box Score,,19273,2:43,STAPLES Center,
Thu Nov 14 2013,8:00p,Houston Rockets,109,New York Knicks,106,Box Score,,19812,,Madison Square Garden (IV),
Thu Nov 14 2013,10:30p,Oklahoma City Thunder,115,Golden State Warriors,116,Box Score,,19596,2:28,Oracle Arena,
Fri Nov 15 2013,7:00p,Milwaukee Bucks,77,Indiana Pacers,104,Box Score,,16202,2:09,Bankers Life Fieldhouse,
Fri Nov 15 2013,7:00p,Chicago Bulls,96,Toronto Raptors,80,Box Score,,19800,2:12,Air Canada Centre,
Fri Nov 15 2013,7:30p,Philadelphia 76ers,103,Atlanta Hawks,113,Box Score,,12070,2:10,Philips Arena,
Fri Nov 15 2013,7:30p,Portland Trail Blazers,109,Boston Celtics,96,Box Score,,18624,2:09,TD Garden,
Fri Nov 15 2013,7:30p,Charlotte Bobcats,86,Cleveland Cavaliers,80,Box Score,,18679,2:04,Quicken Loans Arena,
Fri Nov 15 2013,7:30p,Dallas Mavericks,104,Miami Heat,110,Box Score,,19772,2:23,AmericanAirlines Arena,
Fri Nov 15 2013,8:00p,Minnesota Timberwolves,113,Denver Nuggets,117,Box Score,,17142,2:26,Pepsi Center,
Fri Nov 15 2013,9:00p,Brooklyn Nets,100,Phoenix Suns,98,Box Score,OT,15984,2:30,US Airways Center,
Fri Nov 15 2013,9:00p,San Antonio Spurs,91,Utah Jazz,82,Box Score,,17530,2:02,EnergySolutions Arena,
Fri Nov 15 2013,10:30p,Memphis Grizzlies,89,Los Angeles Lakers,86,Box Score,,18997,2:03,STAPLES Center,
Fri Nov 15 2013,10:30p,Detroit Pistons,97,Sacramento Kings,90,Box Score,,17317,2:27,Sleep Train Arena,
Sat Nov 16 2013,7:00p,Miami Heat,97,Charlotte Bobcats,81,Box Score,,19084,2:05,Time Warner Cable Arena,
Sat Nov 16 2013,7:00p,Dallas Mavericks,108,Orlando Magic,100,Box Score,,15039,2:15,Amway Center,
Sat Nov 16 2013,7:00p,Cleveland Cavaliers,103,Washington Wizards,96,Box Score,OT,18038,2:25,Verizon Center,
Sat Nov 16 2013,7:30p,Atlanta Hawks,110,New York Knicks,90,Box Score,,19812,2:08,Madison Square Garden (IV),
Sat Nov 16 2013,8:00p,Indiana Pacers,94,Chicago Bulls,110,Box Score,,22158,2:11,United Center,
Sat Nov 16 2013,8:00p,Denver Nuggets,111,Houston Rockets,122,Box Score,,18147,2:20,Toyota Center,
Sat Nov 16 2013,8:00p,Boston Celtics,88,Minnesota Timberwolves,106,Box Score,,15111,2:04,Target Center,
Sat Nov 16 2013,8:00p,Philadelphia 76ers,98,New Orleans Pelicans,135,Box Score,,16659,2:15,Smoothie King Center,
Sat Nov 16 2013,8:30p,Oklahoma City Thunder,92,Milwaukee Bucks,79,Box Score,,15984,2:08,BMO Harris Bradley Center,
Sat Nov 16 2013,10:30p,Utah Jazz,88,Golden State Warriors,102,Box Score,,19596,1:59,Oracle Arena,
Sat Nov 16 2013,10:30p,Brooklyn Nets,103,Los Angeles Clippers,110,Box Score,,19349,2:24,STAPLES Center,
Sun Nov 17 2013,1:00p,Portland Trail Blazers,118,Toronto Raptors,110,Box Score,OT,17945,2:43,Air Canada Centre,
Sun Nov 17 2013,6:00p,Memphis Grizzlies,97,Sacramento Kings,86,Box Score,,15630,2:04,Sleep Train Arena,
Sun Nov 17 2013,9:30p,Detroit Pistons,99,Los Angeles Lakers,114,Box Score,,18997,2:04,STAPLES Center,
Mon Nov 18 2013,7:30p,Portland Trail Blazers,108,Brooklyn Nets,98,Box Score,,17732,2:13,Barclays Center,
Mon Nov 18 2013,8:00p,Charlotte Bobcats,81,Chicago Bulls,86,Box Score,,21628,2:15,United Center,
Mon Nov 18 2013,8:00p,Denver Nuggets,113,Oklahoma City Thunder,115,Box Score,,18203,2:39,Chesapeake Energy Arena,
Mon Nov 18 2013,8:30p,Philadelphia 76ers,94,Dallas Mavericks,97,Box Score,,19790,2:21,American Airlines Center,
Mon Nov 18 2013,9:00p,Golden State Warriors,98,Utah Jazz,87,Box Score,,16051,2:05,EnergySolutions Arena,
Mon Nov 18 2013,10:30p,Memphis Grizzlies,106,Los Angeles Clippers,102,Box Score,,19060,2:25,STAPLES Center,
Tue Nov 19 2013,7:00p,Minnesota Timberwolves,100,Washington Wizards,104,Box Score,,14804,2:08,Verizon Center,
Tue Nov 19 2013,7:30p,New York Knicks,86,Detroit Pistons,92,Box Score,,13213,2:16,The Palace of Auburn Hills,
Tue Nov 19 2013,7:30p,Atlanta Hawks,88,Miami Heat,104,Box Score,,19600,2:12,AmericanAirlines Arena,
Tue Nov 19 2013,8:00p,Boston Celtics,85,Houston Rockets,109,Box Score,,18232,2:12,Toyota Center,
Tue Nov 19 2013,10:00p,Phoenix Suns,104,Sacramento Kings,107,Box Score,,14626,2:26,Sleep Train Arena,
Wed Nov 20 2013,7:00p,Brooklyn Nets,91,Charlotte Bobcats,95,Box Score,,13843,2:18,Time Warner Cable Arena,
Wed Nov 20 2013,7:00p,Washington Wizards,98,Cleveland Cavaliers,91,Box Score,,16189,2:11,Quicken Loans Arena,
Wed Nov 20 2013,7:00p,Indiana Pacers,103,New York Knicks,96,Box Score,OT,19812,2:51,Madison Square Garden (IV),
Wed Nov 20 2013,7:00p,Miami Heat,120,Orlando Magic,92,Box Score,,17256,2:13,Amway Center,
Wed Nov 20 2013,7:00p,Toronto Raptors,108,Philadelphia 76ers,98,Box Score,,10787,2:16,Wells Fargo Center,
Wed Nov 20 2013,7:30p,Detroit Pistons,85,Atlanta Hawks,93,Box Score,,13167,2:08,Philips Arena,
Wed Nov 20 2013,8:00p,Portland Trail Blazers,91,Milwaukee Bucks,82,Box Score,,11789,2:03,BMO Harris Bradley Center,
Wed Nov 20 2013,8:00p,Los Angeles Clippers,102,Minnesota Timberwolves,98,Box Score,,13101,2:13,Target Center,
Wed Nov 20 2013,8:00p,Utah Jazz,98,New Orleans Pelicans,105,Box Score,,13203,2:11,Smoothie King Center,
Wed Nov 20 2013,8:30p,Boston Celtics,93,San Antonio Spurs,104,Box Score,,18581,1:59,AT&T Center,
Wed Nov 20 2013,9:00p,Sacramento Kings,113,Phoenix Suns,106,Box Score,,12705,2:16,US Airways Center,
Wed Nov 20 2013,9:30p,Houston Rockets,120,Dallas Mavericks,123,Box Score,,20045,2:34,American Airlines Center,
Wed Nov 20 2013,10:30p,Memphis Grizzlies,88,Golden State Warriors,81,Box Score,OT,19596,2:21,Oracle Arena,
Thu Nov 21 2013,8:00p,Los Angeles Clippers,91,Oklahoma City Thunder,105,Box Score,,18203,2:20,Chesapeake Energy Arena,
Thu Nov 21 2013,10:30p,Chicago Bulls,87,Denver Nuggets,97,Box Score,,18423,2:20,Pepsi Center,
Fri Nov 22 2013,7:00p,Phoenix Suns,98,Charlotte Bobcats,91,Box Score,,14916,2:32,Time Warner Cable Arena,
Fri Nov 22 2013,7:00p,Milwaukee Bucks,107,Philadelphia 76ers,115,Box Score,OT,13588,2:30,Wells Fargo Center,
Fri Nov 22 2013,7:00p,Washington Wizards,88,Toronto Raptors,96,Box Score,,18671,2:09,Air Canada Centre,
Fri Nov 22 2013,7:30p,Indiana Pacers,97,Boston Celtics,82,Box Score,,18624,2:00,TD Garden,
Fri Nov 22 2013,7:30p,Atlanta Hawks,96,Detroit Pistons,89,Box Score,,13467,2:08,The Palace of Auburn Hills,
Fri Nov 22 2013,8:00p,San Antonio Spurs,102,Memphis Grizzlies,86,Box Score,,17109,2:19,FedEx Forum,
Fri Nov 22 2013,8:00p,Brooklyn Nets,81,Minnesota Timberwolves,111,Box Score,,15551,2:08,Target Center,
Fri Nov 22 2013,8:00p,Cleveland Cavaliers,100,New Orleans Pelicans,104,Box Score,,15186,2:18,Smoothie King Center,
Fri Nov 22 2013,8:30p,Utah Jazz,93,Dallas Mavericks,103,Box Score,,19781,2:07,American Airlines Center,
Fri Nov 22 2013,10:00p,Chicago Bulls,95,Portland Trail Blazers,98,Box Score,,20618,2:11,Moda Center,
Fri Nov 22 2013,10:30p,Golden State Warriors,95,Los Angeles Lakers,102,Box Score,,18997,2:17,STAPLES Center,
Sat Nov 23 2013,3:30p,Sacramento Kings,102,Los Angeles Clippers,103,Box Score,,19060,2:38,STAPLES Center,
Sat Nov 23 2013,7:00p,Philadelphia 76ers,98,Indiana Pacers,106,Box Score,,18165,2:23,Bankers Life Fieldhouse,
Sat Nov 23 2013,7:00p,New York Knicks,89,Washington Wizards,98,Box Score,,18089,2:08,Verizon Center,
Sat Nov 23 2013,7:30p,Boston Celtics,94,Atlanta Hawks,87,Box Score,,15189,2:18,Philips Arena,
Sat Nov 23 2013,7:30p,Orlando Magic,99,Miami Heat,101,Box Score,,19647,2:17,AmericanAirlines Arena,
Sat Nov 23 2013,8:00p,Minnesota Timberwolves,101,Houston Rockets,112,Box Score,,18196,2:00,Toyota Center,
Sat Nov 23 2013,8:30p,Charlotte Bobcats,96,Milwaukee Bucks,72,Box Score,,14871,1:58,BMO Harris Bradley Center,
Sat Nov 23 2013,8:30p,Cleveland Cavaliers,96,San Antonio Spurs,126,Box Score,,18581,2:02,AT&T Center,
Sat Nov 23 2013,9:00p,Dallas Mavericks,100,Denver Nuggets,102,Box Score,,17841,2:24,Pepsi Center,
Sat Nov 23 2013,10:30p,Portland Trail Blazers,113,Golden State Warriors,101,Box Score,,19596,2:23,Oracle Arena,
Sun Nov 24 2013,2:00p,Detroit Pistons,109,Brooklyn Nets,97,Box Score,,17732,2:22,Barclays Center,
Sun Nov 24 2013,3:30p,Chicago Bulls,82,Los Angeles Clippers,121,Box Score,,19245,2:09,STAPLES Center,
Sun Nov 24 2013,6:00p,Phoenix Suns,104,Orlando Magic,96,Box Score,,15785,1:58,Amway Center,
Sun Nov 24 2013,7:00p,Utah Jazz,73,Oklahoma City Thunder,95,Box Score,,18203,2:07,Chesapeake Energy Arena,
Sun Nov 24 2013,9:30p,Sacramento Kings,86,Los Angeles Lakers,100,Box Score,,18997,2:01,STAPLES Center,
Mon Nov 25 2013,7:00p,Boston Celtics,96,Charlotte Bobcats,86,Box Score,,13558,2:12,Time Warner Cable Arena,
Mon Nov 25 2013,7:00p,Minnesota Timberwolves,84,Indiana Pacers,98,Box Score,,16426,2:03,Bankers Life Fieldhouse,
Mon Nov 25 2013,7:30p,Milwaukee Bucks,94,Detroit Pistons,113,Box Score,,12150,2:06,The Palace of Auburn Hills,
Mon Nov 25 2013,7:30p,Phoenix Suns,92,Miami Heat,107,Box Score,,19758,2:14,AmericanAirlines Arena,
Mon Nov 25 2013,8:00p,Houston Rockets,93,Memphis Grizzlies,86,Box Score,,15246,2:07,FedEx Forum,
Mon Nov 25 2013,8:30p,Denver Nuggets,110,Dallas Mavericks,96,Box Score,,19677,2:21,American Airlines Center,
Mon Nov 25 2013,8:30p,New Orleans Pelicans,93,San Antonio Spurs,112,Box Score,,18323,2:02,AT&T Center,
Mon Nov 25 2013,9:00p,Chicago Bulls,83,Utah Jazz,89,Box Score,OT,18936,2:34,EnergySolutions Arena,
Mon Nov 25 2013,10:00p,New York Knicks,91,Portland Trail Blazers,102,Box Score,,19939,2:06,Moda Center,
Tue Nov 26 2013,7:00p,Brooklyn Nets,102,Toronto Raptors,100,Box Score,,16421,2:19,Air Canada Centre,
Tue Nov 26 2013,7:00p,Los Angeles Lakers,111,Washington Wizards,116,Box Score,,19204,2:04,Verizon Center,
Tue Nov 26 2013,7:30p,Orlando Magic,109,Atlanta Hawks,92,Box Score,,13164,2:06,Philips Arena,
Tue Nov 26 2013,8:00p,Golden State Warriors,102,New Orleans Pelicans,101,Box Score,,15330,2:06,Smoothie King Center,
Wed Nov 27 2013,7:00p,Indiana Pacers,99,Charlotte Bobcats,74,Box Score,,15170,2:30,Time Warner Cable Arena,
Wed Nov 27 2013,7:00p,Philadelphia 76ers,94,Orlando Magic,105,Box Score,,15839,2:06,Amway Center,
Wed Nov 27 2013,7:30p,Memphis Grizzlies,100,Boston Celtics,93,Box Score,,17319,2:10,TD Garden,
